target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,ii_timesteps,ii_threshold,unfinished
8,0,1.0,,71,101,73,47.93738389015198,96,10000.0,False
1,0,1.0,,48,101,84,38.23228573799133,25,10000000.0,False
2,0,1.0,,46,101,91,38.58811402320862,0,,False
9,0,1.0,,61,101,79,42.842289209365845,56,100000000.0,False
6,0,,,100,101,69,49.869415044784546,67,100000000.0,False
2,0,,,100,101,90,48.87655234336853,45,100000.0,False
6,0,,,100,101,56,50.89131307601929,96,100000.0,False
5,0,1.0,,43,101,76,38.976300954818726,96,1000.0,False
3,0,1.0,,54,101,91,40.76824951171875,29,1000000.0,False
8,0,,,100,101,81,50.14704608917236,67,10000000.0,False
4,0,1.0,,60,101,80,44.11529302597046,96,10.0,False
8,0,1.0,,71,101,73,49.270790576934814,96,100.0,False
0,0,,,100,101,83,49.54545044898987,24,1000000000.0,False
10,0,,,100,101,71,49.685691356658936,79,100000.0,False
3,0,,,100,101,89,49.58594846725464,40,10000.0,False
9,0,1.0,,73,101,84,49.40329718589783,95,10000.0,False
1,0,,,100,101,83,50.398715019226074,96,10.0,False
10,0,,,100,101,78,50.54475712776184,72,10000000.0,False
8,0,,,100,101,91,51.28074502944946,18,100000000.0,False
9,0,,,100,101,81,51.236714363098145,93,10000.0,False
5,0,1.0,,48,101,79,39.387003660202026,34,1000000000.0,False
0,0,,,100,101,82,47.76759171485901,34,1000000.0,False
6,0,,,100,101,61,50.30274415016174,83,1000000.0,False
4,0,,,100,101,79,49.35013937950134,0,,False
4,0,,,100,101,73,51.39789152145386,95,10000.0,False
8,0,1.0,,53,101,82,40.09076452255249,46,1000000000.0,False
6,0,,,100,101,56,49.38736343383789,0,,False
2,0,,,100,101,90,47.48244047164917,0,,False
2,0,,,100,101,90,49.01252794265747,96,100.0,False
7,0,,,100,101,75,49.106414556503296,56,10000000.0,False
2,0,,,100,101,90,49.55567741394043,96,10.0,False
3,0,,,100,101,92,49.131847620010376,22,100000000.0,False
10,0,,,100,101,54,51.038973569869995,96,10.0,False
2,0,1.0,,40,101,91,34.284451484680176,29,100000.0,False
1,0,1.0,,32,101,83,33.123093128204346,34,1000000.0,False
7,0,1.0,,73,101,73,47.6940860748291,70,10000000.0,False
1,0,,,100,101,83,49.53420066833496,0,,False
9,0,1.0,,74,101,63,49.850101470947266,76,1000000000.0,False
7,0,1.0,,73,101,71,49.708834409713745,89,1000000.0,False
2,0,,,100,101,90,47.5719473361969,23,100000000.0,False
5,0,,,100,101,77,51.10818600654602,77,10000.0,False
7,0,1.0,,76,101,67,51.154417514801025,0,,False
11,0,1.0,,78,101,55,51.15690469741821,0,,False
1,0,,,100,101,83,51.61462116241455,96,1000.0,False
10,0,,,100,101,54,50.493794202804565,96,100.0,False
7,0,,,100,101,78,49.57570123672485,96,100000.0,False
10,0,,,100,101,54,49.35285687446594,0,,False
0,0,,,100,101,73,49.2787709236145,96,10.0,False
11,0,,,100,101,68,50.129427433013916,96,10.0,False
